charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
68378,11768,CJK RTR Marg 2 2,AC,3.0,15.0,INR,₹,₹ 15.0,,1,1
62673,11769,CJK SIRI FORT 1,AC,9.0,18.0,INR,₹,₹ 18.0,29/12/2025,3,0
62676,11769,CJK SIRI FORT 2,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,2
62677,11770,CJK Delhi Cantt 1 1,AC,9.0,15.0,INR,₹,₹ 15.0,04/05/2026,3,3
62678,11770,CJK Delhi Cantt 1 2,AC,9.0,15.0,INR,₹,₹ 15.0,16/05/2026,3,0
66367,11770,CJK Delhi Cantt 1 3,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
66368,11770,CJK Delhi Cantt 1 4,AC,9.0,15.0,INR,₹,₹ 15.0,,3,2
62679,11771,CJK Seelampur 1,AC,9.0,15.0,INR,₹,₹ 15.0,14/05/2026,3,2
62680,11772,CJK Rajendra Nagar 1,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
62682,11772,CJK Rajendra Nagar 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/01/2026,3,0
62683,11773,CJK Delhi cantt 2 1,AC,9.0,15.0,INR,₹,₹ 15.0,05/05/2026,3,3
62686,11773,CJK Delhi cantt 2 2,AC,9.0,15.0,INR,₹,₹ 15.0,12/05/2026,3,3
62684,11774,CJK Nizamuddin 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,3
62687,11774,CJK Nizamuddin 2,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,3
62688,11775,CJK Jhandewalan 1,AC,9.0,15.0,INR,₹,₹ 15.0,21/05/2026,3,3
62690,11775,CJK Jhandewalan 2,AC,9.0,15.0,INR,₹,₹ 15.0,03/05/2026,3,3
62694,11775,CJK Jhandewalan 3,AC,9.0,15.0,INR,₹,₹ 15.0,23/02/2026,3,0
62689,11776,CJK Karampura 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,3
62693,11776,CJK Karampura 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,0
